"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",3.12211572310727e-47,14.3870045784747,0.0673945770309388,"COTL1",8.40459978244291e-45
"OK",3.34433048139776e-47,14.3822475518037,0.0673576694706196,"JAKMIP2",8.90598803250504e-45
"OK",3.83304467479006e-47,14.3728062578459,0.0673159786548323,"ALOX5",1.00988494059416e-44
"OK",7.001813007729e-47,14.3310260421549,0.0671194980572041,"UTS2R",1.82533579946754e-44
"OK",8.01499249371151e-47,14.3216380375555,0.0670889870551555,"MIR5047",2.06770108436728e-44
"OK",1.51950560474487e-46,14.2771205284103,0.0668696578211628,"ACTB",3.87959544403212e-44
"OK",3.12487936752409e-46,14.2267756831386,0.0657045527064247,"LOC101927048",7.8970165730716e-44
"OK",3.8939332825619e-46,14.2113772422967,0.066566625827806,"FAM72A",9.74112643191192e-44
"OK",5.66398561452757e-46,14.1851151057579,0.0664441283218185,"SNED1",1.4027426772939e-43
"OK",6.55849643880716e-46,14.1748248923689,0.0663960082564041,"P4HB",1.60819527528216e-43
"OK",2.87173766844899e-45,14.0707771386611,0.0658943059506254,"TBC1D3H",6.97269167615762e-43
"OK",4.30686809549248e-45,14.0420875827367,0.065768786129589,"MIR29B1",1.03557179857249e-42
"OK",5.97370743411012e-45,14.0188867097896,0.0656550202674527,"RNF213",1.42254652224203e-42
"OK",6.20704068738199e-45,14.0161669434636,0.0656516659072357,"LEF1",1.46403399679717e-42
"OK",6.60522668987628e-45,14.0117524070585,0.0656300036773614,"AGBL4",1.54325513397619e-42
"OK",8.6581089963886e-45,13.9925213916047,0.065537199859925,"MOB3A",2.00398810658467e-42
"OK",2.64382958590024e-44,13.9129190487474,0.065161684290491,"XYLT1",6.06269291892643e-42
"OK",8.3871583235006e-44,13.8301188380837,0.0647752071658043,"SLC16A3",1.9056547067873e-41
"OK",9.3111809743579e-44,13.8225987223568,0.0647423204795001,"GPSM3",2.0963700728268e-41
"OK",4.33375856425011e-43,13.7114770880576,0.0642121959006714,"SRGAP2B",9.66935717137101e-41
"OK",8.94686037286389e-43,13.6587879793195,0.0639582922093692,"TEX45",1.97837449994953e-40
"OK",1.03461372749906e-42,13.6482014371807,0.0639219722747097,"FASN",2.26754367922492e-40
"OK",1.52186451776213e-42,13.6200467339595,0.0637865299836391,"CCNL1",3.30618391639447e-40
"OK",1.78055057968586e-42,13.6085769828453,0.0637326753080271,"CORO7",3.8345317962174e-40
"OK",1.97936134270243e-42,13.6008378427083,0.0636981250359126,"SH3RF3",4.21079370728418e-40
"OK",1.98927103186727e-42,13.6004726069209,0.0636966225294115,"MIR4538",4.21079370728418e-40
"OK",3.31361560023174e-42,13.5631027657206,0.0635181149809558,"PELO",6.9546613521474e-40
"OK",3.39545800640002e-42,13.5613133671623,0.0634903601093637,"CADM2",7.06654730979017e-40
"OK",4.96789252276313e-42,13.5333730903104,0.0633737344069191,"MSLN",1.0252902184896e-39
"OK",6.76448344542406e-42,13.510667244893,0.0632740758474405,"BDH1",1.38453881825927e-39
"OK",7.98523428173636e-42,13.4984481797626,0.063211867271883,"IRX5",1.62100255919248e-39
"OK",3.05994700340756e-41,13.3991022511567,0.0627371966607524,"CORO1A",6.16119085255217e-39
"OK",5.48446787931658e-41,13.3557220410824,0.0623352556265417,"SPINK14",1.09538977015447e-38
"OK",1.0789930067732e-40,13.3052401618443,0.0622598335763272,"L3MBTL4",2.13778726445961e-38
"OK",1.08823393304728e-40,13.3046027622313,0.0623083245267838,"C19orf24",2.13898425284516e-38
"OK",1.3170328259495e-40,13.2903320875739,0.0622375912907467,"LINC00513",2.56831771397365e-38
"OK",1.34115825572411e-40,13.2889737990729,0.0622315679828474,"SULF2",2.5949316688487e-38
"OK",1.47147942937253e-40,13.2820325497532,0.0621834789611278,"NAALADL2",2.82501236804962e-38
"OK",2.33343023562485e-40,13.2474676979739,0.0620242123735966,"CRNDE",4.44536409349886e-38
"OK",5.47486119225225e-39,13.0084808541918,0.0609006208720688,"CSMD1",1.03504131517038e-36
"OK",6.358265858346e-39,12.99704334257,0.0608577353951715,"SLA2",1.18989067106383e-36
"OK",6.39002904189169e-39,12.9966621621634,0.0608565286985501,"CD6",1.18989067106383e-36
"OK",8.30390419653538e-39,12.9766061255714,0.0607577683410533,"NIPAL4",1.53473500993579e-36
"OK",3.63210156443921e-38,12.8630609696159,0.0602279435078531,"ZDHHC14",6.66315758110381e-36
"OK",3.91422764840958e-38,12.8572786002511,0.0602014059634484,"TMEM259",7.12792367209645e-36
"OK",6.04677843689762e-38,12.8236102611173,0.0600346088131311,"AOAH",1.09309864794311e-35
"OK",7.68734843530753e-38,12.8049893199994,0.059958453051036,"RXFP4",1.37960051702048e-35
"OK",1.0462953585917e-37,12.7810375879655,0.0598410857228869,"YES1",1.86421229143036e-35
"OK",1.35389952217939e-37,12.7609779924894,0.0597507238781488,"TBC1D10C",2.39504825473534e-35
"OK",1.79375742005774e-37,12.7390467185061,0.0596423055245934,"PIAS4",3.15065221738653e-35
"OK",3.29531664320027e-37,12.691505815024,0.0594155277403584,"RBPJ",5.74731070320407e-35
"OK",3.52528964052958e-37,12.6862217387503,0.0593902445387369,"MCTP2",6.1054072193955e-35
"OK",7.31522788815786e-37,12.6289024890079,0.059126266157849,"SLC24A4",1.25811759637582e-34
"OK",8.79386655330513e-37,12.6144066238473,0.0590286853752392,"LOC105755953",1.50199240730452e-34
